review_id,governorate,service_query,place_name,rating,review_text,review_date,scraped_at
a28a2f7a85098099,القاهرة,مكتب السجل المدني القاهرة,,3.0,كنت رايح ابدل شهادة ميلاد لحفيدتي مولودة في الخارج لشهادة ميلاد مصرية .. الملاحظات: * لا يوجد موقف سيارات في ميدان العباسية ويفضل اوبر او مواصلات عادية * كنت واخد معايا كل صور مستندات ابني وزوجته .. الموظفة قالتلي كل ده ملوش لازمة وقامت باستخراج شهادة ميلاد اصلية لابني وزوجته وشهادة وثيقة زواج عشان تقبل المعاملة * استغرق الامر ساعة ونص واستلمت ايصال باستلام الشهادة بعد ٣ ايام من سجل مدني التابع لعنواني * دفعت رسوم حوالي ٦٥٠ ج وكان الامر 😩 مرهق جدا,قبل شهر,2026-06-29T22:21:30.874835+00:00
58f112f0816d0147,القاهرة,مكتب السجل المدني القاهرة,,4.0,ينقصة ان يكون في ارشادات واضحة للمستخدمين .. المستخدم يأخذ وقت حتي يجد مكان المعاملة . مكان ممتاز ونظيف وكل العاملين يتعاملو بذوق وحسن استقبال,قبل 4 أشهر,2026-06-29T22:21:30.898464+00:00
29bb067d1425a9a1,القاهرة,مكتب السجل المدني القاهرة,,5.0,تجربة فريدة من نوعها في الخدمات المدنية حيث يجتمع كل الموظفين المكلفين باستخراج المستندات المدنية بطايق شخصية شهادات ميلاد شهادات وفاة والكثير من الخدمات المدنية بمعاونة رجال الشرطة المحترمين متعاونين دائما في تقديم الخدمات داخل المكان الرائع ده واتمني التجربة دى تتعمم علي جميع قطاعات الخدمات المدنية داخل جمهورية مصر العربية,قبل شهرين,2026-06-29T22:21:30.909797+00:00
0d0f313d49fbc8fa,القاهرة,مكتب السجل المدني القاهرة,,5.0,خدمة فوق الممتازة وفيها تيسير كبير على المواطنين ، اتمنى كل المصالح الحكومية تكون بنفس الكفاءة,قبل 3 أسابيع,2026-06-29T22:21:30.933212+00:00
6d09649ee9de5a70,القاهرة,مكتب السجل المدني القاهرة,,,لما تروح تريد منهم أي معاملها يطولوا المعاملة وكأنك تعامل للدخول إلى أروبا او أمريكا وبعض الموظفين ليس عندهم أخلاق,قبل 3 أسابيع,2026-06-29T22:21:30.948267+00:00
eaa6fb9b101e656b,القاهرة,مكتب السجل المدني القاهرة,,5.0,في شبابيك كان مكتوب عليها الدفع بالفيزا فقط بس اخذ مني كاش فاشطا غالبا الطريقتين شغالين,قبل 7 أشهر,2026-06-29T22:21:30.972939+00:00
9c0b09be5adb19d1,القاهرة,مكتب السجل المدني القاهرة,,5.0,مكان محترم .. انا باجي من اخر الدنيا عشان اخلص ورقي فيه لما تحتاج,قبل شهرين,2026-06-29T22:21:30.996122+00:00
d2fc1e1b790eca2d,القاهرة,مكتب السجل المدني القاهرة,,,يجبروننا على الدفع بالفيزا وبعد ما بننتظر ف الصف وقت طويل نفاجأ بمطالبتهم لنا بالدفع عن طريق الفيزا,قبل شهر,2026-06-29T22:21:31.012189+00:00
01bbb18f9e0ffdf7,القاهرة,مكتب السجل المدني القاهرة,,4.0,تحفه منظم جدآ وخدمة سريعة في بعض الموظفين في الخدمة السريعة كم ست كده رخمين,قبل شهرين,2026-06-29T22:21:31.028146+00:00
468d717923511153,القاهرة,مكتب السجل المدني القاهرة,,3.0,هتدفع شوية بس هتخلص مصلحتك خلي بالك وانت بتدفع فلوس في الخزنة علشان الموظفة بتضرب الوصل مرتين ف بتخصم منك ضعف ثمن الحاجة,قبل أسبوعين,2026-06-29T22:21:31.044106+00:00
58286a15c61a6328,القاهرة,مكتب السجل المدني القاهرة,,,خدمه سيىئه جدا و معامله اسوأ من موظف تسليم البطايق الاكسبريس اللى هى المفروض الخدمه السريعه الموضوع مفهوش نظام مش احسن حاجه و مفيش نص ساعه و ساعه دى فى ساعتين و ٣ خدمه غاليه جدا فمقابل ان فى اماكن تانيه زى المولات و العربيات مستوى ٥ نجوم و خدمه سريعه و موظفين بشوشه و بتخلص بطاقتك فنفس الوقت او تانى يوم و٢٠٠ جنيه,قبل 5 أشهر,2026-06-29T22:21:31.127816+00:00
7728874bdeabf1c1,القاهرة,مكتب السجل المدني القاهرة,,5.0,سريع فى المعاملات والناس تعاملهم محترم جدا وعندهم اغلب الخدمات شغالة الصبح وباليل,قبل 4 أشهر,2026-06-29T22:21:31.143916+00:00
3b81a5b3aa7be604,القاهرة,مكتب السجل المدني القاهرة,,4.0,مستوى الخدمة بقى مميز جدا لكن للأسف فيه بعض الموظفين يسيئون المعاملة لكن في المجملة التطور ملحوظ. ربنا يوفق بلدنا للخير دايما.,قبل 8 أشهر,2026-06-29T22:21:31.160032+00:00
c3feeb47af6aa9c2,القاهرة,مكتب السجل المدني القاهرة,,3.0,مكان جميل ونظيف ولاكن المعامله بالداخل بطيئه,قبل شهرين,2026-06-29T22:21:31.185236+00:00
0a4d1f8f9a93ad99,القاهرة,مكتب السجل المدني القاهرة,,5.0,ماشاءالله خدمات سريعة جدا وطبعا متاح لحد 9 مساءا ودي لوحدها كفاية,قبل شهر,2026-06-29T22:21:31.205282+00:00
76b370aab2b10265,القاهرة,مكتب السجل المدني القاهرة,,5.0,رائعه.. تعامل راقي سرعه في تنفيذ الخمات,قبل شهرين,2026-06-29T22:21:31.223878+00:00
c3a6d3f2d2c8304f,القاهرة,مكتب السجل المدني القاهرة,,,لايوجد به مسجد للسيداتI can’t believe being in Egypt as a Muslim country and this place doesn’t designate women prayer area,قبل 3 أشهر,2026-06-29T22:21:31.238898+00:00
029d2e30c17a1d4b,القاهرة,مكتب السجل المدني القاهرة,,5.0,تحسن كبير وسرعة في الخدمات 👏🏻👏🏻👏🏻 شكرا من القلب من سعودي محب لمصر ❤️❤️ …,قبل شهرين,2026-06-29T22:21:31.254678+00:00
6d403c8a6b0dbd3c,القاهرة,مكتب السجل المدني القاهرة,,5.0,تقدم كبير وملحوظ في تقديم الخدمات للجمهور والناس وخطوة يشكرو عليها,قبل شهرين,2026-06-29T22:21:31.270309+00:00
c223ef4ba0e6b6b7,القاهرة,مكتب السجل المدني القاهرة,,3.0,عايز تشتري استمارة تحديث رقم قومي اما ب٥٠٠ ج المستعجلة او تطلع عالماكينة الخارجية بتاعت الخدمة الذاتية الاستمارة بقى ب٦٠ مش ب٥٠ عشان مجرد ان المكنة خدمتك طب هل هي خدمتك في ماكينتين مش بيقبلوا غير فئات 50 ج فقط و مش بياخدوا فيزا ولا اي عملات تانية و البصمة البيومترية مش شغالة في واحدة منهم اصلا طب عايز تطلع شهادة ميلاد ب80 مش ب50 زي باقي السجلات اصل احنا بنخدمك خدمة مميزة بالليل بعيدا عن انها اغلى من السجلات الاخرى لكن هتدفع فيزا هنزود 2.5% عقاب ليك عشان عايز تدفع من غير فلوس نقدية في ايدك مع العلم في اماكن جوا المجمع محتاجة فيزا فقط مفيش نقدي غير ان مفيش خدمة مميزة ولا حاجة المكان مش نضيف و مليان ورق مرمي في الارض و على المكاتب تجربة غير مميزة و في النهاية هو مكان حكومي زي اي مكان حكومي مهما تطور هيفضل حكومي بيحل مشكلة و بيخلق مشكلة تانية,قبل 6 أشهر,2026-06-29T22:21:31.347972+00:00
23e3bab0bd06cf4d,القاهرة,مكتب السجل المدني القاهرة,,,محدش فيهم بيشتغل بضمير و كله بيرمي علي كله,قبل أسبوع,2026-06-29T22:21:31.349768+00:00
3e1b1ff5f1c17539,القاهرة,مكتب السجل المدني القاهرة,,,من اوسخ الاماكن والله كل مصالح الحكومية تقرف اقعد3ساعات عشان استلم بطاقه ودافع 500🔥 …,قبل 5 أشهر,2026-06-29T22:21:31.364955+00:00
ac31fdc85faa91d7,القاهرة,مكتب السجل المدني القاهرة,,5.0,الحقيقة المكان نظيف منظم و التعامل كويس,قبل شهرين,2026-06-29T22:21:31.381017+00:00
2e9ea64e5eb1506c,القاهرة,مكتب السجل المدني القاهرة,,3.0,جيد نوعا ما يحتاج إلى تنظيم,قبل سنتين,2026-06-29T22:21:31.405149+00:00
5ee42b6801a46d87,القاهرة,مكتب السجل المدني القاهرة,,5.0,ممتاز خدمات عامه ومكان تجاري مميز عن غيره,قبل سنتين,2026-06-29T22:21:31.419249+00:00
